city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Sacramento,Sacramento,CA,6067.0,38.5677,-121.4685,1957738.0,False,0.053,0.13,-0.8213214285714301,284.0,8.716666666666669,False,True,True,False,True,False,True,True,False,True,False
San Antonio,Bexar,TX,48029.0,29.4632,-98.5238,2058444.0,True,0.039,0.14800000000000002,-0.08552380952381,255.0,23.05,False,True,True,True,True,False,True,True,True,True,False
Roanoke,Roanoke,VA,51770.0,37.2785,-79.9581,218533.0,False,0.03,0.179,0.3780833333333362,64.0,12.283333333333333,False,True,False,True,True,False,False,False,False,False,False
Reno,Washoe,NV,32031.0,39.5497,-119.8483,457702.0,False,0.052,0.11,-1.1436547619047666,73.0,13.083333333333334,False,True,True,False,True,False,True,True,True,True,False
Racine,Racine,WI,55101.0,42.7274,-87.8135,132006.0,False,0.03,0.124,-1.2923571428571456,47.0,16.3,False,False,True,False,True,False,True,False,False,False,False
Piedmont,Alameda,CA,6001.0,37.8225,-122.2301,11161.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Providence,Providence,RI,44007.0,41.823,-71.4187,1290271.0,False,0.039,0.14300000000000002,-0.5364523809523831,22.0,9.566666666666668,False,True,True,True,True,False,True,True,True,True,False
Portland,Multnomah,OR,41051.0,45.5371,-122.65,2095808.0,False,0.042,0.124,-1.1447023809523849,79.0,9.316666666666666,False,True,True,True,True,False,True,True,True,True,True
Portland,Cumberland,ME,23005.0,43.6773,-70.2715,209491.0,False,0.034,0.077,-0.4012976190476216,56.0,10.949999999999998,False,True,True,True,False,False,True,True,True,True,False
Pittsburgh,Allegheny,PA,42003.0,40.4397,-79.9763,1749091.0,False,0.034,0.113,-0.3781428571428549,59.0,16.566666666666666,False,True,True,True,True,False,True,True,True,True,False
Richmond,Richmond,VA,51760.0,37.5295,-77.4756,1073223.0,False,0.03,0.21100000000000002,0.3780833333333362,64.0,12.283333333333333,False,True,True,False,False,False,True,True,False,True,False
Deerfield Beach,Broward,FL,12011.0,26.305,-80.1277,86455.0,True,0.031,0.128,1.8295714285714304,130.0,10.883333333333333,False,False,False,False,True,False,False,False,False,False,False
Dedham,,MA,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Jackson,Hinds,MS,28049.0,32.3157,-90.2125,335171.0,True,0.031,0.252,1.5567261904761907,72.0,20.983333333333334,False,False,False,False,True,False,False,False,False,False,False
Kennebunk,,ME,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
