id,city,state,state_name,county_fips,county_name,latitude,longitude
1840002472,Clinton,WI,Wisconsin,55105,Rock,42.5574,-88.868
1840020043,Parma,ID,Idaho,16027,Canyon,43.7864,-116.9429
1840030806,Orchard Grass Hills,KY,Kentucky,21185,Oldham,38.3234,-85.5236
1840005015,Aquebogue,NY,New York,36103,Suffolk,40.9425,-72.6149
1840037380,Hampden-Sydney,VA,Virginia,51147,Prince Edward,37.2415,-78.4693
1840020864,Eldorado,TX,Texas,48413,Schleicher,30.8617,-100.5979
1840015200,West Buechel,KY,Kentucky,21111,Jefferson,38.195,-85.6678
1840022189,Uhland,TX,Texas,48209,Hays,29.9627,-97.7952
1840023163,Jones Creek,TX,Texas,48039,Brazoria,28.9752,-95.4714
1840022423,Lyons,CO,Colorado,8013,Boulder,40.223,-105.2692
1840005439,Belford,NJ,New Jersey,34025,Monmouth,40.4261,-74.0802
1840017166,Kinder,LA,Louisiana,22003,Allen,30.4835,-92.8508
1840016674,Ware Shoals,SC,South Carolina,45047,Greenwood,34.3894,-82.239
1840028271,San Pasqual,CA,California,6037,Los Angeles,34.1393,-118.1027
1840007445,Charlack,MO,Missouri,29189,St. Louis,38.7029,-90.3427
1840073612,Conneaut Lakeshore,PA,Pennsylvania,42039,Crawford,41.6272,-80.3102
1840017154,Kentwood,LA,Louisiana,22105,Tangipahoa,30.9339,-90.5153
1840002604,Campbellsport,WI,Wisconsin,55039,Fond du Lac,43.5975,-88.2814
1840041817,Mason Neck,VA,Virginia,51059,Fairfax,38.6556,-77.1819
1840010546,Hagerstown,IN,Indiana,18177,Wayne,39.9115,-85.1555
1840009896,Seymour,MO,Missouri,29225,Webster,37.1473,-92.7689
1840017999,St. Matthews,SC,South Carolina,45017,Calhoun,33.664,-80.778
1840005576,Delaware City,DE,Delaware,10003,New Castle,39.574,-75.5938
1840017587,Colorado City,CO,Colorado,8101,Pueblo,37.9381,-104.8451
1840022332,Columbus,MT,Montana,30095,Stillwater,45.636,-109.2488
1840009873,Stockton,MO,Missouri,29039,Cedar,37.697,-93.796
1840019504,Kerens,TX,Texas,48349,Navarro,32.1308,-96.2252
1840036273,Little Cypress,TX,Texas,48361,Orange,30.1773,-93.7538
1840004655,Brownlee Park,MI,Michigan,26025,Calhoun,42.3257,-85.1357
1840022289,Millwood,WA,Washington,53063,Spokane,47.6856,-117.2806
1840008808,Noel,MO,Missouri,29119,McDonald,36.5432,-94.4888
1840008141,Mitchell,NE,Nebraska,31157,Scotts Bluff,41.9427,-103.8098
1840020376,Pawnee,OK,Oklahoma,40117,Pawnee,36.3484,-96.8025
1840004223,Clinton,NY,New York,36065,Oneida,43.0489,-75.3784
1840005327,South Floral Park,NY,New York,36059,Nassau,40.7135,-73.7004
1840028444,Columbine Valley,CO,Colorado,8005,Arapahoe,39.5993,-105.0352
1630023548,Liborio Negron Torres,PR,Puerto Rico,72121,Sabana Grande,18.0431,-66.9426
1840017137,Malvern,AL,Alabama,1061,Geneva,31.1428,-85.521
1840010387,Cardington,OH,Ohio,39117,Morrow,40.498,-82.8937
1840040222,Conesus Lake,NY,New York,36051,Livingston,42.7756,-77.7135
1840013513,Mayo,SC,South Carolina,45083,Spartanburg,35.0857,-81.8535
1840015480,Hemby Bridge,NC,North Carolina,37179,Union,35.1055,-80.6258
1840043364,Shippensburg University,PA,Pennsylvania,42041,Cumberland,40.0618,-77.5231
1840073825,East Bronson,FL,Florida,12075,Levy,29.4593,-82.5905
1840038491,Woodlands,CA,California,6079,San Luis Obispo,35.0289,-120.5524
1840018304,Sewall's Point,FL,Florida,12085,Martin,27.1971,-80.1982
1840024120,North Warren,PA,Pennsylvania,42123,Warren,41.8833,-79.1672
1840019271,Seth Ward,TX,Texas,48189,Hale,34.2163,-101.6945
1840006916,Denver,IA,Iowa,19017,Bremer,42.6683,-92.335
1840002582,Auburn,MI,Michigan,26017,Bay,43.6021,-84.0756
1840004340,Britt,IA,Iowa,19081,Hancock,43.0986,-93.803
1840010911,Capac,MI,Michigan,26147,St. Clair,43.0074,-82.9271
1630023664,Mariano Colon,PR,Puerto Rico,72043,Coamo,18.0287,-66.3356
1840005183,Orchard Hills,PA,Pennsylvania,42005,Armstrong,40.5849,-79.5416
1840025945,Sharon,MS,Mississippi,28067,Jones,31.7922,-89.0983
1840033778,Kingsbury,NV,Nevada,32005,Douglas,38.9909,-119.8837
1840018244,Sorrento,LA,Louisiana,22005,Ascension,30.1828,-90.8674
1840016246,Halls,TN,Tennessee,47097,Lauderdale,35.8795,-89.405
1840008926,Spring Park,MN,Minnesota,27053,Hennepin,44.9364,-93.632
1840006311,Tappahannock,VA,Virginia,51057,Essex,37.9187,-76.8667
1840035796,Wilkinson Heights,SC,South Carolina,45075,Orangeburg,33.4919,-80.8286
1840003356,Melville,RI,Rhode Island,44005,Newport,41.5611,-71.2937
1840073707,Lynnwood-Pricedale,PA,Pennsylvania,42129,Westmoreland,40.1304,-79.8514
1840074566,Poplar-Cotton Center,CA,California,6107,Tulare,36.0577,-119.1502
1840000982,Walnutport,PA,Pennsylvania,42095,Northampton,40.7515,-75.5956
1840007846,Lester Prairie,MN,Minnesota,27085,McLeod,44.8829,-94.0375
1840000789,Sussex,NJ,New Jersey,34037,Sussex,41.2096,-74.6079
1840017611,Byron,CA,California,6013,Contra Costa,37.8757,-121.6422
1840034221,Woodworth,OH,Ohio,39099,Mahoning,40.9778,-80.6546
1840112341,Biltmore,TN,Tennessee,47019,Carter,36.3675,-82.2243
1840007641,Bernie,MO,Missouri,29207,Stoddard,36.6718,-89.9707
1630023663,Los Llanos,PR,Puerto Rico,72043,Coamo,18.0579,-66.4092
1840005619,Williamsport,MD,Maryland,24043,Washington,39.5973,-77.818
1840017038,Taylorsville,MS,Mississippi,28129,Smith,31.8322,-89.4342
1840006137,Dayton,VA,Virginia,51165,Rockingham,38.4173,-78.9412
1840016430,Monteagle,TN,Tennessee,47061,Grundy,35.2367,-85.8513
1840074025,Grand Canyon Village,AZ,Arizona,4005,Coconino,36.0474,-112.1623
1840022654,Chelsea,OK,Oklahoma,40131,Rogers,36.5321,-95.4346
1840019026,Sandy Valley,NV,Nevada,32003,Clark,35.8423,-115.6304
1840010745,Wellston,MO,Missouri,29189,St. Louis,38.675,-90.2941
1840018010,Reform,AL,Alabama,1107,Pickens,33.3788,-88.0173
1840035303,West Hamburg,PA,Pennsylvania,42011,Berks,40.5524,-76.002
1840003417,Valley View,OH,Ohio,39035,Cuyahoga,41.3831,-81.6067
1840011602,Woodville,OH,Ohio,39143,Sandusky,41.451,-83.364
1840032841,West Glendive,MT,Montana,30021,Dawson,47.1057,-104.754
1840019356,Cooper,TX,Texas,48119,Delta,33.3716,-95.6912
1840006544,Gate City,VA,Virginia,51169,Scott,36.6401,-82.5782
1840018681,Cave Junction,OR,Oregon,41033,Josephine,42.1672,-123.6473
1840024028,Washington Mills,NY,New York,36065,Oneida,43.0478,-75.2809
1840034082,New California,OH,Ohio,39159,Union,40.1503,-83.2371
1840009852,Sesser,IL,Illinois,17055,Franklin,38.0906,-89.051
1840018197,Buna,TX,Texas,48241,Jasper,30.4458,-93.9625
1840013280,Harlan,KY,Kentucky,21095,Harlan,36.8433,-83.3184
1840145794,Hamilton College,NY,New York,36065,Oneida,43.0527,-75.4078
1840003013,Butler,WI,Wisconsin,55133,Waukesha,43.1084,-88.0713
1840018468,Ocean Park,WA,Washington,53049,Pacific,46.4961,-124.0443
1840019532,Beverly Hills,TX,Texas,48309,McLennan,31.5224,-97.1564
1840009446,Superior,NE,Nebraska,31129,Nuckolls,40.0217,-98.0618
1840018332,El Portal,FL,Florida,12086,Miami-Dade,25.8556,-80.1954
1840026616,Stagecoach,NV,Nevada,32019,Lyon,39.3656,-119.3832
1840011441,Port Byron,IL,Illinois,17161,Rock Island,41.616,-90.328
1840035843,Edisto,SC,South Carolina,45075,Orangeburg,33.4777,-80.8999
1840029180,Sterling,GA,Georgia,13127,Glynn,31.2603,-81.5525
1630035624,Boqueron,PR,Puerto Rico,72023,Cabo Rojo,18.034,-67.1714
1840008146,Durant,IA,Iowa,19031,Cedar,41.6011,-90.9138
1840014521,Claremont,NC,North Carolina,37035,Catawba,35.7104,-81.1532
1840024540,Baden,MD,Maryland,24033,Prince George's,38.672,-76.7428
1840010669,Hope,IN,Indiana,18005,Bartholomew,39.2992,-85.766
1840040578,Mowbray Mountain,TN,Tennessee,47065,Hamilton,35.2751,-85.2225
1840018042,St. George,SC,South Carolina,45035,Dorchester,33.1861,-80.5794
1840022506,Olathe,CO,Colorado,8085,Montrose,38.6083,-107.9833
1840008872,Rice,MN,Minnesota,27009,Benton,45.7525,-94.2317
1840147366,Sterling Ranch,CO,Colorado,8035,Douglas,39.4932,-105.0475
1840007917,Mountain Lake,MN,Minnesota,27033,Cottonwood,43.9407,-94.9277
1840004724,Stone Ridge,NY,New York,36111,Ulster,41.8436,-74.1518
1840038436,South Park,WY,Wyoming,56039,Teton,43.4234,-110.7994
1840022053,Lakeside,TX,Texas,48439,Tarrant,32.8222,-97.4867
1840013266,Edmonton,KY,Kentucky,21169,Metcalfe,36.9854,-85.6192
1840029537,Pahala,HI,Hawaii,15001,Hawaii,19.1993,-155.4772
1840025722,Ahwahnee,CA,California,6039,Madera,37.3654,-119.7166
1840018195,Rehobeth,AL,Alabama,1069,Houston,31.1242,-85.4383
1840006052,Franklin Furnace,OH,Ohio,39145,Scioto,38.6114,-82.8439
1840016233,Glen Alpine,NC,North Carolina,37023,Burke,35.7307,-81.7826
1840008894,Stacy,MN,Minnesota,27025,Chisago,45.3841,-92.9938
1840021184,Three Forks,MT,Montana,30031,Gallatin,45.8899,-111.5525
1840026475,Greenock,PA,Pennsylvania,42003,Allegheny,40.3125,-79.8038
1840001506,Brooklawn,NJ,New Jersey,34007,Camden,39.8788,-75.1207
1840012406,Minerva Park,OH,Ohio,39049,Franklin,40.077,-82.9407
1840035626,Selmont-West Selmont,AL,Alabama,1047,Dallas,32.3784,-87.0074
1840001634,Edgerton,KS,Kansas,20091,Johnson,38.7717,-94.9706
1840017317,Freeland,WA,Washington,53029,Island,48.0186,-122.5359
1840024179,Katonah,NY,New York,36119,Westchester,41.256,-73.6857
1840020344,Newkirk,OK,Oklahoma,40071,Kay,36.8817,-97.0553
1630035597,Vieques,PR,Puerto Rico,72147,Vieques,18.1462,-65.4429
1840010798,Haubstadt,IN,Indiana,18051,Gibson,38.2039,-87.5751
1840004563,Frewsburg,NY,New York,36013,Chautauqua,42.0576,-79.1483
1840012417,Mount Sterling,OH,Ohio,39097,Madison,39.7134,-83.2735
1840034928,Devon,PA,Pennsylvania,42029,Chester,40.0496,-75.4272
1840016017,Huntsville,TN,Tennessee,47151,Scott,36.4112,-84.5056
1840008174,Monroe,IA,Iowa,19099,Jasper,41.5189,-93.1038
1840009576,Plainville,KS,Kansas,20163,Rooks,39.2341,-99.3009
1840017083,Level Plains,AL,Alabama,1045,Dale,31.3071,-85.7687
1840010722,Vevay,IN,Indiana,18155,Switzerland,38.7427,-85.0783
1840035844,Eureka Mill,SC,South Carolina,45023,Chester,34.718,-81.1929
1840005822,Wyoming,DE,Delaware,10001,Kent,39.1147,-75.563
1840004288,Churchville,NY,New York,36055,Monroe,43.1034,-77.8825
1840020396,Prague,OK,Oklahoma,40081,Lincoln,35.499,-96.7001
1840019248,Coalgate,OK,Oklahoma,40029,Coal,34.5323,-96.2209
1840028603,Suffield Depot,CT,Connecticut,9110,Capitol,41.9843,-72.6465
1840011206,Decatur,MI,Michigan,26159,Van Buren,42.1075,-85.9746
