fips,state,medianHouseholdIncome
16059,ID,57499
16061,ID,50128
16063,ID,57111
16065,ID,55721
16067,ID,61010
16069,ID,61951
16071,ID,60769
16073,ID,52374
16075,ID,58885
16077,ID,57322
16079,ID,47699
16081,ID,84015
16083,ID,57487
16085,ID,69425
16087,ID,51067
17000,IL,72215
17001,IL,59777
17003,IL,41816
17005,IL,57287
17007,IL,71557
17009,IL,51294
17011,IL,61431
17013,IL,63586
17015,IL,54450
17017,IL,60961
17019,IL,58787
17021,IL,52500
17023,IL,58741
17025,IL,51042
17027,IL,77272
17029,IL,47693
17031,IL,72063
17033,IL,59128
17035,IL,69740
17037,IL,67081
17039,IL,64325
17041,IL,65447
17043,IL,99536
17045,IL,56772
17047,IL,53779
17049,IL,69988
17051,IL,52610
17053,IL,57483
17055,IL,49510
17057,IL,50978
17059,IL,48424
17061,IL,53394
17063,IL,83254
17065,IL,55409
17067,IL,56700
17069,IL,47144
17071,IL,59415
17073,IL,62683
17075,IL,60736
17077,IL,43334
17079,IL,59069
17081,IL,53294
17083,IL,68675
17085,IL,67839
17087,IL,57073
17089,IL,90941
17091,IL,63880
17093,IL,100483
17095,IL,47559
17097,IL,95895
17099,IL,64447
17101,IL,46525
17103,IL,60542
17105,IL,61569
17107,IL,58939
17109,IL,53024
17111,IL,92522
17113,IL,71309
17115,IL,48245
17117,IL,57755
17119,IL,65886
17121,IL,55292
17123,IL,64132
17125,IL,58828
17127,IL,52680
17129,IL,75687
17131,IL,64731
17133,IL,93054
17135,IL,59116
17137,IL,54644
17139,IL,69652
17141,IL,74472
17143,IL,56460
17145,IL,53071
17147,IL,81583
17149,IL,54474
17151,IL,50404
17153,IL,42738
17155,IL,74798
17157,IL,58694
17159,IL,56852
17161,IL,58171
17163,IL,66422
17165,IL,50914
17167,IL,68476
17169,IL,57839
17171,IL,63510
17173,IL,55725
17175,IL,58265
17177,IL,56263
17179,IL,65427
17181,IL,52384
17183,IL,49825
17185,IL,56183
17187,IL,61734
17189,IL,66746
17191,IL,51669
17193,IL,50653
17195,IL,56805
17197,IL,93994
17199,IL,55447
17201,IL,57113
17203,IL,85085
18000,IN,62723
18001,IN,62282
18003,IN,62680
18005,IN,72458
18007,IN,60738
18009,IN,47553
18011,IN,98047
18013,IN,66839
18015,IN,57019
18017,IN,53813
18019,IN,62822
18021,IN,64245
18023,IN,60609
18025,IN,52031
18027,IN,59888
18029,IN,73150
18031,IN,64871
18033,IN,65059
18035,IN,50533
18037,IN,67615
18039,IN,62233
18041,IN,50642
18043,IN,67330
18045,IN,55195
18047,IN,61261
18049,IN,57400
18051,IN,60592
18053,IN,50248
18055,IN,55504
18057,IN,108203
18059,IN,80326
18061,IN,66989
18063,IN,90298
18065,IN,52994
18067,IN,56268
18069,IN,55546
18071,IN,61943
18073,IN,74336
18075,IN,52315
18077,IN,59333
18079,IN,61964
18081,IN,79914
18083,IN,56564
18085,IN,66525
18087,IN,80335
18089,IN,61468
18091,IN,62620
18093,IN,52557
18095,IN,54026
18097,IN,58737
18099,IN,68799
18101,IN,61520
18103,IN,56867
18105,IN,53166
18107,IN,57997
18109,IN,69203
18111,IN,61336
18113,IN,65979
18115,IN,64947
18117,IN,52910
18119,IN,57716
18121,IN,55683
18123,IN,58097
18125,IN,52093
18127,IN,80878
18129,IN,74102
18131,IN,58239
18133,IN,61223
18135,IN,50809
18137,IN,65893
18139,IN,60486
18141,IN,59325
18143,IN,54747
18145,IN,64528
18147,IN,62311
18149,IN,57994
18151,IN,65407
18153,IN,47606
18155,IN,57362
18157,IN,55192
18159,IN,67866
18161,IN,65572
18163,IN,53795
18165,IN,53540
18167,IN,48421
18169,IN,62193
18171,IN,63154
18173,IN,83005
18175,IN,57348
18177,IN,50569
18179,IN,66102
18181,IN,62151
18183,IN,64146
19000,IA,65645
19001,IA,60847
19003,IA,54403
19005,IA,60717
19007,IA,51222
19009,IA,69484
19011,IA,78155
19013,IA,60716
19015,IA,69888
19017,IA,75395
19019,IA,64503
19021,IA,60576
19023,IA,65284
19025,IA,59643
19027,IA,65598
19029,IA,55909
19031,IA,75894
19033,IA,55465
19035,IA,64286
19037,IA,67667
19039,IA,58483
19041,IA,60162
19043,IA,56076
19045,IA,60528
19047,IA,58874
19049,IA,94467
19051,IA,75730
19053,IA,48666
19055,IA,69767
19057,IA,53917
19059,IA,67949
19061,IA,73968
19063,IA,52000
19065,IA,56366
19067,IA,59638
19069,IA,60269
19071,IA,68622
19073,IA,57737
19075,IA,71652
19077,IA,66112
19079,IA,64292
19081,IA,61544
19083,IA,58126
19085,IA,67433
19087,IA,61112
19089,IA,58857
19091,IA,69252
19093,IA,58792
19095,IA,66613
19097,IA,61307
19099,IA,65714
19101,IA,52763
19103,IA,68664
19105,IA,62810
19107,IA,56843
19109,IA,62571
19111,IA,56001
19113,IA,70464
19115,IA,64151
19117,IA,64796
19119,IA,70654
19121,IA,82730
19123,IA,62776
19125,IA,69307
19127,IA,63541
19129,IA,76917
19131,IA,61719
19133,IA,56394
19135,IA,62014
19137,IA,53399
19139,IA,63519
19141,IA,62959
19143,IA,62624
19145,IA,55317
19147,IA,57866
19149,IA,74002
19151,IA,59634
19153,IA,73276
19155,IA,66144
19157,IA,60542
19159,IA,52849
19161,IA,66007
19163,IA,66443
19165,IA,64534
19167,IA,84283
19169,IA,65137
19171,IA,61660
19173,IA,54458
19175,IA,55698
19177,IA,53210
19179,IA,55297
19181,IA,85704
19183,IA,65761
19185,IA,53282
19187,IA,55183
19189,IA,59949
19191,IA,70482
19193,IA,60110
19195,IA,64965
19197,IA,61072
20000,KS,64128
20001,KS,50794
20003,KS,57068
20005,KS,57445
20007,KS,56344
20009,KS,54236
20011,KS,51355
20013,KS,52446
20015,KS,71826
20017,KS,57415
20019,KS,46986
20021,KS,51353
20023,KS,49281
20025,KS,58699
20027,KS,59343
20029,KS,50176
20031,KS,64991
20033,KS,51548
20035,KS,51699
20037,KS,47718
20039,KS,49062
20041,KS,60693
20043,KS,59400
20045,KS,59763
20047,KS,40896
20049,KS,45405
20051,KS,58846
20053,KS,59368
20055,KS,62157
20057,KS,67105
20059,KS,64136
20061,KS,54104
20063,KS,58442
20065,KS,49884
20067,KS,64425
20069,KS,69219
20071,KS,65448
20073,KS,50157
20075,KS,61066
20077,KS,49103
20079,KS,65989
20081,KS,66245
20083,KS,65042
20085,KS,54623
20087,KS,73702
20089,KS,52362
20091,KS,93220
20093,KS,76518
20095,KS,58917
20097,KS,55600
20099,KS,49185
20101,KS,61506
20103,KS,81325
20105,KS,53199
20107,KS,57104
20109,KS,61365
20111,KS,51420
20113,KS,64853
20115,KS,56983
20117,KS,55737
20119,KS,68909
20121,KS,77550
20123,KS,59001
20125,KS,49251
20127,KS,53808
20129,KS,57476
20131,KS,68755
20133,KS,51056
20135,KS,57269
20137,KS,52131
20139,KS,63166
20141,KS,52866
20143,KS,58366
20145,KS,54004
20147,KS,54720
20149,KS,78296
20151,KS,58506
20153,KS,49823
20155,KS,52121
20157,KS,50131
20159,KS,58384
20161,KS,57144
20163,KS,51957
20165,KS,53110
20167,KS,48071
20169,KS,57643
20171,KS,66233
20173,KS,60540
20175,KS,61897
20177,KS,56625
20179,KS,58786
20181,KS,54207
20183,KS,49756
20185,KS,52542
20187,KS,65457
20189,KS,64368
20191,KS,58342
20193,KS,61169
20195,KS,56619
20197,KS,72031
20199,KS,59241
20201,KS,55590
20203,KS,58549
20205,KS,46829
20207,KS,41706
20209,KS,54943
21000,KY,55532
21001,KY,42112
21003,KY,51485
21005,KY,67773
21007,KY,53491
21009,KY,49245
21011,KY,43410
21013,KY,31033
21015,KY,85284
21017,KY,58304
21019,KY,48979
21021,KY,52940
21023,KY,55347
21025,KY,33005
21027,KY,50012
21029,KY,68630
21031,KY,49288
21033,KY,46240
21035,KY,49263
21037,KY,71245
21039,KY,56804
21041,KY,49814
21043,KY,43538
21045,KY,38320
21047,KY,48416
21049,KY,60774
21051,KY,30700
21053,KY,36865
21055,KY,46263
21057,KY,39511
21059,KY,59304
21061,KY,47734
21063,KY,34491
21065,KY,41843
21067,KY,61269
21069,KY,50025
21071,KY,36253
21073,KY,60517
21075,KY,35630
21077,KY,57345
21079,KY,54882
21081,KY,61078
21083,KY,49668
21085,KY,45695
21087,KY,42569
21089,KY,54292
21091,KY,60897
21093,KY,61224
21095,KY,31116
21097,KY,58535
21099,KY,50074
21101,KY,56142
21103,KY,56593
21105,KY,49328
21107,KY,49883
21109,KY,36997
21111,KY,60636
21113,KY,61652
21115,KY,41013
21117,KY,70693
21119,KY,34051
21121,KY,32646
21123,KY,54470
21125,KY,48950
21127,KY,42750
21129,KY,29143
21131,KY,32682
21133,KY,34897
21135,KY,40508
21137,KY,44399
21139,KY,48371
21141,KY,53519
21143,KY,56445
21145,KY,60504
21147,KY,32938
21149,KY,53102
21151,KY,54498
21153,KY,34423
21155,KY,51523
21157,KY,57802
21159,KY,29387
21161,KY,49924
21163,KY,58839
21165,KY,38928
21167,KY,53336
21169,KY,42755
21171,KY,41638
21173,KY,51831
21175,KY,47131
21177,KY,45883
21179,KY,62036
21181,KY,46547
21183,KY,55432
21185,KY,109181
21187,KY,55321
21189,KY,29365
21191,KY,56036
21193,KY,36528
21195,KY,38066
21197,KY,40116
21199,KY,45532
21201,KY,51177
21203,KY,43378
21205,KY,52451
21207,KY,40454
21209,KY,71961
21211,KY,72524
21213,KY,58531
21215,KY,91160
21217,KY,50258
21219,KY,51189
21221,KY,52511
21223,KY,62902
21225,KY,50862
21227,KY,59223
21229,KY,64733
21231,KY,38651
21233,KY,52575
21235,KY,37530
21237,KY,34749
21239,KY,76942
22000,LA,52090
22001,LA,44648
22003,LA,43192
22005,LA,75498
22007,LA,42404
22009,LA,38567
22011,LA,59550
22013,LA,38093
22015,LA,61225
22017,LA,44968
22019,LA,57667
22021,LA,39079
22023,LA,62457
22025,LA,38006
22027,LA,36115
22029,LA,36821
22031,LA,48007
22033,LA,51746
22035,LA,30288
22037,LA,51296
22039,LA,37707
22041,LA,38439
22043,LA,50979
22045,LA,47391
22047,LA,47942
22049,LA,45481
22051,LA,56080
22053,LA,48709
22055,LA,59062
22057,LA,58740
22059,LA,47205
22061,LA,40384
22063,LA,71605
22065,LA,33619
22067,LA,36998
22069,LA,43381
22071,LA,46188
22073,LA,47737
22075,LA,68765
22077,LA,51988
22079,LA,47316
22081,LA,40724
22083,LA,39804
22085,LA,44952
22087,LA,46938
22089,LA,70224
22091,LA,41937
22093,LA,60466
22095,LA,58548
22097,LA,39806
22099,LA,49271
22101,LA,42757
22103,LA,68616
22105,LA,51596
22107,LA,31438
22109,LA,59482
22111,LA,43746
22113,LA,52070
22115,LA,51401
22117,LA,39363
22119,LA,41436
22121,LA,67436
22123,LA,40812
22125,LA,69086
22127,LA,44942
23000,ME,64823
23001,ME,61411
23003,ME,51770
23005,ME,80484
23007,ME,52295
23009,ME,57001
23011,ME,60449
23013,ME,68786
23015,ME,65638
23017,ME,51872
23019,ME,56261
23021,ME,49999
23023,ME,75624
23025,ME,51040
23027,ME,58262
23029,ME,42755
23031,ME,73794
24000,MD,90129
24001,MD,49236
24003,MD,107281
24005,MD,80159
24009,MD,117459
24011,MD,61945
24013,MD,102006
24015,MD,76727
24017,MD,103918
24019,MD,54731
24021,MD,104253
24023,MD,55107
24025,MD,95951
24027,MD,131412
24029,MD,66183
24031,MD,112352
24033,MD,89689
24035,MD,94583
24037,MD,106539
24039,MD,47131
24041,MD,78931
24043,MD,65433
24045,MD,61848
24047,MD,70952
24510,MD,54068
25000,MA,89577
25001,MA,82980
25003,MA,60945
25005,MA,72857
25007,MA,79338
25009,MA,87145
25011,MA,68948
25013,MA,61818
25015,MA,77117
25017,MA,112345
25019,MA,110966
25021,MA,114658
25023,MA,99445
25025,MA,77163
25027,MA,84583
26000,MI,63444
26001,MI,46749
26003,MI,54516
26005,MI,73873
26007,MI,50848
26009,MI,59430
26011,MI,50452
26013,MI,46656
26015,MI,68380
26017,MI,56681
26019,MI,67924
26021,MI,57554
26023,MI,60481
26025,MI,55639
26027,MI,62065
26029,MI,64604
26031,MI,53747
26033,MI,48972
26035,MI,46085
26037,MI,77617
26039,MI,50367
26041,MI,53234
26043,MI,56033
26045,MI,70638
26047,MI,71401
26049,MI,52157
26051,MI,49146
26053,MI,44675
26055,MI,66271
26057,MI,55249
26059,MI,54863
26061,MI,52585
26063,MI,51767
26065,MI,57733
26067,MI,64641
26069,MI,47401
26071,MI,48920
26073,MI,47999
26075,MI,58637
26077,MI,62476
26079,MI,57920
26081,MI,71933
26083,MI,50729
26085,MI,40382
26087,MI,71306
26089,MI,86406
26091,MI,62050
26093,MI,92357
26095,MI,47959
26097,MI,53028
26099,MI,67646
26101,MI,54422
26103,MI,56179
26105,MI,55536
26107,MI,52481
26109,MI,57421
26111,MI,68054
26113,MI,51151
26115,MI,66179
26117,MI,55735
26119,MI,44500
26121,MI,55410
26123,MI,57840
26125,MI,86597
26127,MI,56533
26129,MI,45186
26131,MI,46824
26133,MI,52272
26135,MI,42620
26137,MI,59538
26139,MI,79402
26141,MI,56119
26143,MI,50822
26145,MI,50992
26147,MI,61466
26149,MI,58400
26151,MI,49541
26153,MI,49735
26155,MI,53197
26157,MI,52365
26159,MI,59240
26161,MI,77359
26163,MI,52644
26165,MI,53711
27000,MN,77712
27001,MN,56471
27003,MN,88416
27005,MN,67261
27007,MN,60386
27009,MN,67048
27011,MN,55635
27013,MN,68620
27015,MN,63708
27017,MN,68442
27019,MN,106582
27021,MN,57928
27023,MN,58611
27025,MN,85080
27027,MN,67970
27029,MN,60235
27031,MN,62528
27033,MN,58801
27035,MN,64008
27037,MN,93850
27039,MN,84385
27041,MN,67370
27043,MN,55696
27045,MN,67804
27047,MN,62770
27049,MN,74974
27051,MN,61901
27053,MN,84220
27055,MN,70325
27057,MN,65557
27059,MN,74481
27061,MN,59138
27063,MN,64052
27065,MN,57937
27067,MN,66030
27069,MN,60785
27071,MN,59299
27073,MN,62182
27075,MN,68725
27077,MN,62357
27079,MN,82936
27081,MN,60199
27083,MN,66692
27085,MN,67835
27087,MN,52486
27089,MN,66165
27091,MN,57521
27093,MN,66785
27095,MN,66546
27097,MN,63671
27099,MN,60831
27101,MN,72302
27103,MN,73386
27105,MN,58596
27107,MN,60560
27109,MN,83656
27111,MN,63741
27113,MN,64778
27115,MN,62206
27117,MN,58379
27119,MN,61629
27121,MN,70662
27123,MN,70485
27125,MN,57208
27127,MN,61480
27129,MN,63768
27131,MN,71490
27133,MN,67389
27135,MN,69341
27137,MN,64321
27139,MN,108730
27141,MN,92205
27143,MN,73913
27145,MN,67213
27147,MN,70093
27149,MN,64585
27151,MN,59516
27153,MN,58012
27155,MN,60270
27157,MN,68843
27159,MN,55215
27161,MN,69110
27163,MN,105251
27165,MN,65099
27167,MN,65514
27169,MN,63878
27171,MN,99744
27173,MN,64247
28000,MS,48871
28001,MS,40007
28003,MS,46712
28005,MS,41927
28007,MS,40592
28009,MS,41019
28011,MS,35599
28013,MS,38073
28015,MS,46012
28017,MS,40762
28019,MS,43567
28021,MS,33163
28023,MS,43774
28025,MS,40257
28027,MS,31234
28029,MS,43471
28031,MS,43796
28033,MS,72890
28035,MS,45326
28037,MS,43579
28039,MS,54560
28041,MS,45013
28043,MS,39562
28045,MS,54207
28047,MS,54090
28049,MS,42092
28051,MS,28236
28053,MS,30555
28055,MS,29050
28057,MS,51454
28059,MS,57664
28061,MS,43527
28063,MS,32234
28065,MS,34876
28067,MS,44670
28069,MS,37262
28071,MS,52428
28073,MS,65261
28075,MS,44492
28077,MS,45844
28079,MS,42938
28081,MS,57597
28083,MS,31091
28085,MS,45609
28087,MS,49086
28089,MS,77665
28091,MS,40017
28093,MS,40650
28095,MS,47768
28097,MS,40442
28099,MS,44008
28101,MS,45278
28103,MS,34467
28105,MS,43226
28107,MS,42287
28109,MS,51023
28111,MS,45758
28113,MS,39063
28115,MS,50133
28117,MS,49750
28119,MS,31877
28121,MS,71478
28123,MS,41496
28125,MS,32650
28127,MS,43757
28129,MS,48335
28131,MS,51353
28133,MS,34017
28135,MS,35671
28137,MS,54882
28139,MS,49254
28141,MS,47839
28143,MS,37886
28145,MS,51678
28147,MS,37080
28149,MS,50060
28151,MS,38040
28153,MS,38380
28155,MS,49335
28157,MS,33777
28159,MS,48427
28161,MS,42995
28163,MS,37119
29000,MO,61815
29001,MO,47619
29003,MO,63665
29005,MO,54708
29007,MO,55262
29009,MO,47532
29011,MO,46554
29013,MO,54634
29015,MO,51574
29017,MO,54291
29019,MO,62805
29021,MO,51811
29023,MO,43640
29025,MO,52861
29027,MO,64333
29029,MO,54637
29031,MO,60997
29033,MO,59257
29035,MO,39423
29037,MO,79949
29039,MO,43563
29041,MO,56898
29043,MO,70623
29045,MO,50390
29047,MO,75129
29049,MO,64823
29051,MO,63972
29053,MO,56824
29055,MO,49511
29057,MO,43303
29059,MO,46189
29061,MO,56786
29063,MO,54112
29065,MO,45530
